name,num_pages,url
coon,9,https://s3.amazonaws.com/st-messenger/day1/coon
cook,11,https://s3.amazonaws.com/st-messenger/day1/cook
scratch,6,https://s3.amazonaws.com/st-messenger/day1/scratch
bird,8,https://s3.amazonaws.com/st-messenger/day1/bird
